,author,title,entity,kind,total,gender
1,"Atwood, Margaret",The Handmaid's Tale,Adam,person,-0.5,m
2,"Atwood, Margaret",The Handmaid's Tale,Alma,person,1.25,f
3,"Atwood, Margaret",The Handmaid's Tale,Angela,person,1,f
4,"Atwood, Margaret",The Handmaid's Tale,Aunt Helena,person,4.166666667,f
5,"Atwood, Margaret",The Handmaid's Tale,Aunt Lydia,person,1.561904762,f
8,"Atwood, Margaret",The Handmaid's Tale,Elizabeth,person,1.277777778,f
10,"Atwood, Margaret",The Handmaid's Tale,Janine,person,0.794392523,f
11,"Atwood, Margaret",The Handmaid's Tale,Katharine Hepburn,person,1,f
12,"Atwood, Margaret",The Handmaid's Tale,Lord,person,1.333333333,m
13,"Atwood, Margaret",The Handmaid's Tale,Luke,person,0.320754717,m
14,"Atwood, Margaret",The Handmaid's Tale,Martha,person,0.387096774,f
15,"Atwood, Margaret",The Handmaid's Tale,Merry Widow,person,2,f
16,"Atwood, Margaret",The Handmaid's Tale,Mildred,person,-2,f
18,"Atwood, Margaret",The Handmaid's Tale,Moira,person,0.209677419,f
20,"Atwood, Margaret",The Handmaid's Tale,Nick.,person,-1.454545455,m
21,"Atwood, Margaret",The Handmaid's Tale,Ofglen,person,0.242424242,f
22,"Atwood, Margaret",The Handmaid's Tale,Rachel,person,0.5,f
23,"Atwood, Margaret",The Handmaid's Tale,Raymond Chandler,person,-1,m
26,"Atwood, Margaret",The Handmaid's Tale,Serena,person,0.896551724,f
27,"Atwood, Margaret",The Handmaid's Tale,Steven,person,-1,m
28,"Atwood, Margaret",The Handmaid's Tale,Warren,person,1,m
29,"Bradbury, Ray",Fahrenheit 451,Albert Schweitzer,person,3,m
30,"Bradbury, Ray",Fahrenheit 451,Aunt Maude,person,2,f
31,"Bradbury, Ray",Fahrenheit 451,Beatty,person,-0.025974026,m
32,"Bradbury, Ray",Fahrenheit 451,Bob,person,2,m
33,"Bradbury, Ray",Fahrenheit 451,Byron,person,0,m
35,"Bradbury, Ray",Fahrenheit 451,Clarisse Dove,person,4,f
37,"Bradbury, Ray",Fahrenheit 451,Faber,person,-0.392156863,m
38,"Bradbury, Ray",Fahrenheit 451,Fred Clement,person,4,m
39,"Bradbury, Ray",Fahrenheit 451,Friday Faulkner,person,-4,m
40,"Bradbury, Ray",Fahrenheit 451,Granger,person,0.214285714,m
