,author,title,words,kind
1,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",William Newcastle,person
4,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",Henry,person
5,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",Alexander,person
6,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",Noble Ladies,person
7,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",Cave,location
8,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",Paradise,location
9,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",Rivers,location
14,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",Jews,person
17,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",Majesty,person
24,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",Moses,person
25,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",Kelly,person
28,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",Johnson,person
29,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",Epicure Mammon,person
32,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",Columbus,person
33,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",America,location
34,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",Philosophical,location
36,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",Icy Sea,location
37,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",East,location
38,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",West,location
39,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",Sun,location
40,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",River,location
41,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",Island,location
42,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",Woods,location
43,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",Kingdom,location
44,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",Islands,location
45,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",Coral,location
46,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",Arch,location
49,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",Moon,location
50,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",Arabian Sands,location
51,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",Head,location
52,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",State,location
53,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",Imperial Palace,location
54,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",But,location
55,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",Wind,location
56,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",Earth,location
57,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",Mountains,location
58,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",Snow,location
59,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",Thunder,location
66,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",Maggots,location
103,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",Lucid,location
104,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",Sea,location
105,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",Noah,person
106,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",Ark,location
108,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",Florence,location
111,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",Reason,location
112,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",Ship,location
113,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",Wood,location
114,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",Light,location
115,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",King,person
116,"Cavendish, Margaret","The Description of a New World, Called The Blazing-World",Great,location
